::ffff:127.0.0.1 - - [19/Sep/2023:15:31:20 +0000] "POST /api/auths/login HTTP/1.1" 200 519 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:31:43 +0000] "GET /api/users/all HTTP/1.1" 401 66 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:32:26 +0000] "POST /api/auths/login HTTP/1.1" 200 524 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:32:49 +0000] "GET /api/users/all HTTP/1.1" 200 1494 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:34:19 +0000] "GET /api/books/all?year=1500&yearFill=high HTTP/1.1" 200 1295 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:46:28 +0000] "GET /api/carts/get-cart HTTP/1.1" 500 64 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:47:49 +0000] "GET /api/carts/get-cart HTTP/1.1" 500 64 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:51:34 +0000] "GET /api/carts/get-cart/6502d6aa0024e8a5d11aa956 HTTP/1.1" 500 64 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:57:30 +0000] "GET /api/carts/get-cart/6502d6aa0024e8a5d11aa956 HTTP/1.1" 404 62 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:58:21 +0000] "GET /api/carts/get-cart/6502d6aa0024e8a5d11aa956 HTTP/1.1" 404 62 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:15:59:56 +0000] "GET /api/carts/get-cart/6502d6aa0024e8a5d11aa956 HTTP/1.1" 200 1615 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:16:04:17 +0000] "GET /api/carts/get-cart/6502df7a50ab4be7a943d48b HTTP/1.1" 200 1591 "-" "PostmanRuntime/7.33.0"
::ffff:127.0.0.1 - - [19/Sep/2023:16:05:08 +0000] "GET /api/carts/get-cart/6502df7a50ab4be7a943d48b HTTP/1.1" 200 1591 "-" "PostmanRuntime/7.33.0"
